                        Step     Time          Energy          fmax
DistanceAwareOptimizer:    0 19:49:39     -611.280640        1.530112
DistanceAwareOptimizer:    1 19:49:45     -611.377258        1.506197
DistanceAwareOptimizer:    2 19:49:53     -611.559692        1.710785
DistanceAwareOptimizer:    3 19:49:58     -611.781311        2.065260
DistanceAwareOptimizer:    4 19:50:01     -612.191406        2.651081
DistanceAwareOptimizer:    5 19:50:05     -612.865295        3.422807
DistanceAwareOptimizer:    6 19:50:08     -613.848511        4.123561
DistanceAwareOptimizer:    7 19:50:11     -614.970520        4.394418
DistanceAwareOptimizer:    8 19:50:17     -615.999634        3.507381
DistanceAwareOptimizer:    9 19:50:21     -616.553345        2.449300
DistanceAwareOptimizer:   10 19:50:28     -616.552551        2.298684
DistanceAwareOptimizer:   11 19:50:34     -616.411194        2.230080
DistanceAwareOptimizer:   12 19:50:41     -616.534424        1.442066
DistanceAwareOptimizer:   13 19:50:47     -616.725708        1.317789
DistanceAwareOptimizer:   14 19:50:51     -616.825378        1.452361
DistanceAwareOptimizer:   15 19:50:55     -616.971741        1.836286
DistanceAwareOptimizer:   16 19:50:59     -617.219238        1.734575
DistanceAwareOptimizer:   17 19:51:03     -617.678528        4.119322
DistanceAwareOptimizer:   18 19:51:06     -617.898315        4.549114
DistanceAwareOptimizer:   19 19:51:09     -618.371155        2.882554
DistanceAwareOptimizer:   20 19:51:15     -618.825989        3.329294
DistanceAwareOptimizer:   21 19:51:18     -618.837158        3.511188
DistanceAwareOptimizer:   22 19:51:22     -619.175781        1.683886
DistanceAwareOptimizer:   23 19:51:25     -619.348206        1.410549
DistanceAwareOptimizer:   24 19:51:28     -619.524963        1.062185
DistanceAwareOptimizer:   25 19:51:33     -619.676880        1.118518
DistanceAwareOptimizer:   26 19:51:38     -619.731934        0.571907
DistanceAwareOptimizer:   27 19:51:42     -619.762207        0.576952
DistanceAwareOptimizer:   28 19:51:48     -619.795776        1.028914
DistanceAwareOptimizer:   29 19:51:52     -619.831787        1.120521
DistanceAwareOptimizer:   30 19:51:55     -619.854553        0.791595
DistanceAwareOptimizer:   31 19:51:59     -619.877014        0.281128
DistanceAwareOptimizer:   32 19:52:02     -619.898926        0.361262
DistanceAwareOptimizer:   33 19:52:05     -619.917358        0.516831
DistanceAwareOptimizer:   34 19:52:09     -619.928467        0.429643
DistanceAwareOptimizer:   35 19:52:17     -619.936829        0.259238
DistanceAwareOptimizer:   36 19:52:24     -619.945984        0.272706
DistanceAwareOptimizer:   37 19:52:31     -619.956055        0.384369
DistanceAwareOptimizer:   38 19:52:35     -619.965210        0.413721
DistanceAwareOptimizer:   39 19:52:39     -619.973022        0.237449
DistanceAwareOptimizer:   40 19:52:42     -619.981018        0.195773
DistanceAwareOptimizer:   41 19:52:46     -619.991028        0.295720
DistanceAwareOptimizer:   42 19:52:52     -620.002075        0.408957
DistanceAwareOptimizer:   43 19:52:55     -620.011780        0.303228
DistanceAwareOptimizer:   44 19:53:00     -620.020264        0.285110
DistanceAwareOptimizer:   45 19:53:07     -620.029053        0.254435
DistanceAwareOptimizer:   46 19:53:10     -620.037231        0.298329
DistanceAwareOptimizer:   47 19:53:12     -620.043335        0.209811
DistanceAwareOptimizer:   48 19:53:20     -620.047119        0.138965
DistanceAwareOptimizer:   49 19:53:24     -620.049377        0.103194
DistanceAwareOptimizer:   50 19:53:28     -620.051575        0.159916
DistanceAwareOptimizer:   51 19:53:33     -620.053162        0.120372
DistanceAwareOptimizer:   52 19:53:37     -620.054016        0.052208
DistanceAwareOptimizer:   53 19:53:40     -620.054504        0.042551
